5/4/2017 15:00:00,Beaverton,OR,Disk,Not sure,Hat-shaped tan object caught on cell phone camera by accident.,5/6/2017
5/3/2017 21:00:00,Portland,OR,Circle,20 minutes,Three moving bright lights.,5/6/2017
4/29/2017 22:00:00,Medford,OR,Changing,30 seconds,Hovering multicolored object over Medford,5/6/2017
4/21/2017 12:11:00,Hillsboro,OR,Other,5 minutes,Metallic Orange Ring Shaped Object Over Hillsboro Oregon,4/28/2017
4/16/2017 20:30:00,Portland,OR,Oval,5 minutes,Bright orange ball flying over house making rapid direction shift. ((anonymous report)),4/20/2017
4/3/2017 0:30:00,Portland,OR,Oval,<1 minute,"Color changing, silent, slow moving oval above Portland's West Hills.",5/6/2017
3/29/2017 19:00:00,Canby,OR,Circle,5 minutes,"Large white ball of light moving silently over Clackamas County, OR.",4/7/2017
3/20/2017 22:10:00,Medford,OR,Circle,45,Circular craft 600-1000' off the ground and would shoot up to the elev. of most high flying planes within seconds. ((no contact info.)),4/28/2017
3/19/2017 3:00:00,Forest Grove,OR,Light,30 minutes +,"Hovering bright light in night sky 3am south of Forest Grove, OR. ((anonymous report))",3/23/2017
3/16/2017 21:41:00,Salem,OR,Flash,3 seconds,White flashing explosion.,3/17/2017
3/12/2017 23:00:00,Colton,OR,Other,5 minutes,While photographing the moon last night I captured unexplained light objects that moved in each frame but could not see without camera,3/17/2017
2/26/2017 5:20:00,Bend,OR,Light,30 minutes,Two bright lights moving erratically and at high speeds.,3/10/2017
2/25/2017 21:30:00,Albany (near),OR,Rectangle,5 minutes,Two strange bright white lights hovering high above interstate,3/10/2017
2/25/2017 4:45:00,Fall Creek,OR,Sphere,15 minutes,445am 4 bright stars/lights hovered in the sky. I layed in bed watching then decided I'd take a picture so I went pee first and when I,3/10/2017
2/12/2017 20:30:00,Tigard,OR,Other,On hour before setting,Spotted a bright light directly west of my position at 45°23'60: N. 122°46'53W.  ((NUFORC Note: Sighting of Venus. PD)),2/17/2017
2/6/2017 18:00:00,Portland,OR,Light,1 hour,"Object is in high orbit, many different patterns of movement. It appears to have thrusts of some kind going out in all directions to he",2/10/2017
2/5/2017 19:00:00,Bend,OR,Formation,30 minutes,27+ lights in formation quickly moving across sky synchronized.,2/10/2017
1/31/2017 22:15:00,Albany,OR,Sphere,2 seconds,Odd swarelling movement.at end of it's path.,2/3/2017
1/28/2017 19:00:00,Portland,OR,,,PETER| MY COUSIN CALLED ME 1/28/17 SAID HE HAD BEEN WATCHING A STATIONARY BRIGHT OBJECT IN THE W SKY FOR >1 hr.. ((Venus)),2/3/2017
1/27/2017 13:15:00,Portland,OR,Cylinder,15 minutes,star/ white cylinder object seen by students at school.,2/3/2017
1/23/2017 2:45:00,Hillsboro,OR,Flash,3 minutes,"Bright flickering light in the sky standing still and them moved and then stood still, then dissapeared",1/26/2017
1/23/2017 0:04:00,Yachats,OR,Circle,2 minutes,"I had a very unusual sighting. Time line was 12:04, technically Monday, since it was after midnight.",2/3/2017
1/14/2017 19:38:00,Hillsboro,OR,Light,3 seconds,"Bright light falling in the Eastern sky. ((NUFORC Note: Possible meteor, we suspect. PD))",1/19/2017
1/9/2017 4:10:00,Gresham,OR,,Second,Noticed a bright flash green light coming from the window. ((anonymous report)),1/12/2017
1/7/2017 23:20:00,Sutherlin,OR,Fireball,5 minutes,I walked outside by 11:20 p.m. I looked up in the sky North I was smoking a cigarette I saw orange lights big craft ran inside got my f,1/12/2017
1/6/2017 18:24:00,Tigard,OR,Circle,1 hour,Round circular flashy object seen in the sky for the past 3 days. ((NUFORC Note: Sighting of Venus?? PD)),1/12/2017
1/1/2017 22:55:00,"Portland, OR/Vancouver, WA",OR,Circle,current,Smaller round unknown and multicolored stat. figures in the sky and not a star. ((NUFORC Note: Sirius?? PD)) ((anonymous report)),1/6/2017
12/31/2016 20:00:00,Redmond,OR,Sphere,4 hours,12+ silent red orbs fly from west to east.,1/6/2017
12/31/2016 11:10:00,Eugene,OR,Diamond,10 minutes,3 strange objects on New Years Eve.,1/6/2017
12/30/2016 18:42:00,Gresham,OR,Light,1 hour,"Bright light in SW sky from Gresham, Oregon. ((NUFORC Note: Sighting of Venus. PD))",1/6/2017
12/28/2016 22:00:00,Eugene,OR,Sphere,5 seconds,Driving on Beltline highway westbound and seen bright white ball of light streak across sky heading SW.,1/26/2017
12/25/2016 21:30:00,Lincoln City,OR,Light,1 minute,Bright Light - Moved Extremely Fast.,1/6/2017
12/18/2016 20:40:00,Bend,OR,Other,1 minute,Large fleet of lights flying together in unity across the sky over Bend Oregon,12/21/2016
12/12/2016 17:32:00,Salem,OR,Other,15 minutes,Bright spark slowly cruising around the moon,12/15/2016
12/9/2016 21:50:00,Portland,OR,Flash,10 seconds,Pulsing green light over Portland.,12/15/2016
12/7/2016 19:00:00,Bend,OR,Circle,19:00-20:00,The MOON changed Orbit from west to east.,3/10/2017
12/5/2016 1:40:00,La Pine,OR,Fireball,~2 seconds,Large bright orange fireball light silently Streaks over the Cascade mountains of central Oregon Definitely NOT a Meteor ... Too fast,12/5/2016
11/29/2016 6:45:00,Happy Valley,OR,Circle,20 minutes,Very large slow moving orb over Portland Area.,12/5/2016
11/28/2016 23:00:00,Sutherlin,OR,Other,5 minutes,Orange non-blinking tight group of lights flying east from coast then turned south and disappeared Have seen several craft of differen,12/5/2016
11/26/2016 19:00:00,Fairview,OR,Triangle,2 minutes,A large craft with 4 solid white lights was flying low across the sky and then vanished.,12/5/2016
11/23/2016 22:30:00,Beaverton,OR,Disk,60 seconds,Massive green rotating disc-shaped lights over Portland,12/5/2016
11/19/2016 20:40:00,Oregon City,OR,Light,10 minutes,What we witnessed has changed our entire way of thinking!,12/5/2016
11/16/2016 19:00:00,Carlton,OR,Fireball,4 seconds,Brilliant green fireball arching over sky.,12/5/2016
11/16/2016 19:00:00,Wood Village,OR,Light,1 second,"I saw a small trail of light, heading from W to E, resembling that of a shooting star, except much lower in the earth's atmosphere.",12/5/2016
