1937,Hubbard,OR,Cylinder,10 seconds,It had a bluish tint with what looked like a candle light in the center traveling slowly south.,45.1823,-122.8079
1949,Salem,OR,Cigar,2300,"Cigar Craft, Body Marks and Missing Time",44.9429,-123.0351
1950,Stanfield,OR,Disk,2 - 3 minutes,"In 1950, Eastern Oregon, I saw one silver, oval shaped disk hover for approximately 2 - 3 minutes before quickly accelerating away.",45.7804,-119.2172
1954,Corvallis (Near; small town of Alsea),OR,Diamond,1-2 mins.,"Disc top, or bottom to our view following, west to east, a 4 engine (prop) maybe a Tri Star (three rudders) About 1/2 way across our vi",44.5646,-123.2620
1958,Terrebonne,OR,Unknown,1-2 minutes,"Piercing, shrill tone.",44.3529,-121.1778
1960,Portland,OR,Disk,,Live TV broadcast from Portland OR in the summer of 1959 or 1960.,45.5231,-122.6765
1960,Portland,OR,Unknown,15-30 min,Stationary Lights Over Portland OR Around 1960,45.5231,-122.6765
1961,Newberg,OR,Egg,2.5 hours,"Bright orbs flying in sky west of Portland, Oregon",45.3001,-122.9732
1962,Beaverton,OR,Triangle,2 minutes,Daytime approach and stopped within short distance and was extremely visible.,45.4871,-122.8037
1963,Portland,OR,Sphere,1/2 hour,"1963 - Round hovering, soundless, rotating object over northeast Portland, Oregon",45.5231,-122.6765
1964,Drew,OR,Circle,20 minutes,Date/Time 07/1964 City: Drew State: Oregon Shape Silver(Metallic) Disc Duration 30 min Summary object hovered above work location .,42.8819,-122.8983
1964,Terrebonne,OR,Cigar,10 minutes,"Shimmering silver metallic shape.....no sound(s), moving slowly to the South.",44.3529,-121.1778
1965,Portland,OR,Disk,2 minutes,The object was stationary.,45.5231,-122.6765
1965,Portland,OR,Disk,20 minutes,"A football sized glowing orange saucer shaped object , hovering completely still over head, disappears into the horizon in a flash.",45.5231,-122.6765
1965,Beaverton,OR,Cigar,@ 5 seconds,"This was when i was @6y/o, I lived at the end of a mile long dead end road in rual washington co.Oregon.Surronded by wheat fields and w",45.4871,-122.8037
1965,Terrebonne,OR,Light,5-6 hours,"Pairs of RED LIGHTS spinning up, down, spiraling, twirling....as if playing.",44.3529,-121.1778
1966,Roseburg,OR,Other,about an hour,"i saw YHVH and afterwards there apopeared a ufo in the following week that took me from a tent and tatooed me, project blue book there.",43.2165,-123.3417
1966,Salem,OR,Oval,25 min,The pay off could be big for a little research.,44.9429,-123.0351
1966,Corvallis,OR,Disk,2 minutes,"Saucer with no sound flew 100 feet above ground, changed direction then left atmosphere in a split second.",44.5646,-123.2620
1966,Ukiah,OR,Oval,20 minutes,"Orange oval 40 ft in diameter, twenty ft off the ground, appoxumate 100 ft from me.",45.1340,-118.9325
1966,Salem,OR,Disk,"30""","Strange Orange lights seen on the same day, at the same time, thirty six years ago.",44.9429,-123.0351
1967,Lakeview,OR,Other,35 minutes,"WE SAW A QUARTER MOON SHAPED, CREAM COLORED GLOW WITH WHITE PORTHOLE LIGHTS ON BOTH SIDES",42.1888,-120.3458
1967,Myrtle Creek,OR,Circle,initially 15 minutes last,10 PM August 1967 sphere observed by multiple witnesses moving along ridgleline 1/2 mile distance 500 Lights On Object0: Yes,43.0201,-123.2931
1967,Baker City,OR,Disk,30 minutes,Disk shaped object with different colored revolving lights,44.7749,-117.8344
1967,Maury Mountains,OR,Fireball,Unknown,Possible Crashed UFO In Oregon's Maury Mountains In The Summer Of 1967.,44.0329,-120.4183
1967,Roseburg,OR,Sphere,15 minutes,"3 round craft , with red-blue-green swirling lights, ( no sound) , and sparks emitting from beneath them.",43.2165,-123.3417
1967,Chiloquin,OR,Disk,2 minutes,"It was steel gray, simigloss exterior.It was a disk. the sun was behind the horizon. It was dusk. the craft was hovering over the ri",42.5776,-121.8661
1967,Silver Lake,OR,Unknown,1minute,"Saw a small white light that increased dramatically in size, reduced to a small light, turned red and zip......it was gone.",43.1278,-121.0481
1968,Christmas Valley,OR,Disk,3-4 min.,"Step-father and his crew saw a silent, silver colored disk following (above) the power lines.",43.2378,-120.6709
1968,Eugene,OR,Cigar,3 to 5 min.,"A cigar shaped large object, that blended colors from red to white. Stayed about 3 min.",44.0521,-123.0868
1969,Portland,OR,Disk,3 MIN,WE WERE CLOSE ENOUGHT TO THROW ROCKS AT THEM WE WERE CONCERNED THAT THEY SEEN US I WAS SCARED,45.5231,-122.6765
1969,Christmas Valley,OR,Disk,5 min.,"We saw three silent silver colored disks zoom in from different directions, instantly stop, hover , and then zip off.",43.2378,-120.6709
1969,Wasco,OR,Disk,About 2 min.,I saw the craft almost stationary about 75 yards out; and 75 yards high .I looked at for about one minute then ran back to our house to,45.5918,-120.6981
1969,Portland,OR,Cigar,3/1/2002,The cigar shaped crafts unusual attitude is something I have never seen repeated with any modern aircraft past or present.,45.5231,-122.6765
1970,Ritter,OR,Disk,4 min,I was on a fishing trip with a friend . It was getting dark and we were looking upat the sky with my bionacers when i notched two white,44.8924,-119.1436
1970,Beaverton,OR,Disk,10 minutes,Will never forget.,45.4871,-122.8037
1972,Oregon City,OR,Triangle,06-10 sec,Triangular-Rounded Edges-Very Black-Rimmed evenly with small lights and unevenly on its underside.,45.3573,-122.6068
1972,Medford,OR,Light,ten minutes,Projecting-retracting-light beam from no visible source,42.3265,-122.8756
1972,Milwaukie,OR,Light,5:00,"An unseen, low-flying object was emitting a beam of light on the ground coming towards us.",45.4462,-122.6393
1972,Sweet Home,OR,Unknown,ufo,"Ligthning coming out of a cloud hovering, waves of clouds come out an going backin, no sound look at that?",44.3976,-122.7362
1973,Portland,OR,Fireball,2 minutes,"My cousin and I were laying on our backs on a hill in front of my home - at about a 30 degree angle. Looking up at the night sky, talk",45.5231,-122.6765
1973,Warm Springs,OR,Disk,30-60 secs.,"Craft with green beam over Warm Springs, Oregon",44.7635,-121.2662
1973,Roseburg,OR,Cylinder,"not sure,maybe 2 hours","We were on the outskirts of town, just passing the sewage treatment plant, when this object with blinding white light enveloped the car",43.2165,-123.3417
1974,Aurora,OR,Disk,2 minutes,Flying Saucer hovers above car.,45.2310,-122.7559
1974,Lakeside to North Bend,OR,Light,30 min.,Cone shaped light,43.5757,-124.1751
1974,Gold Beach,OR,Circle,30 seconds,Ball of light shining a cone of light on the beach.,42.4073,-124.4218
1974,Fossil,OR,Changing,55 hours,((HOAX??)) The object at a distance looked like a Ferris wheel with multiple colors of red green blue yellow.,44.9982,-120.2161
1975,Portland,OR,Disk,5 minutes,A disc shaped craft that appeared to be made of metal.,45.5231,-122.6765
1975,Little Valley,OR,Light,5 minutes,"Two headlights following the canal road, rises into the air, goes a ways, lights fade out and disappear without any sound.",43.8793,-117.4819
1976,Gresham,OR,Changing,30 minutes,"We saw ""it"" and got the hell out of there! We then came back.......and so dit it!",45.5001,-122.4302
1976,Beaver Creek,OR,Disk,one minute,Craft appears from over the top of house and stops over yard as kids are looking out the window at bed time.,45.2879,-122.5353
1976,Cave Junction,OR,Triangle,12 hours,Real man in black,42.1629,-123.6481
1976,Portland,OR,Triangle,30 seconds,The craft was low and made absolutely no noise. It had lights that ran down the left and right side of the craft. ((anonymous report)),45.5231,-122.6765
1976,Portland,OR,Triangle,20 min,"Large triangle remembered in Portland, Oregon",45.5231,-122.6765
1976,Portland,OR,Cigar,3-4 minutes,Cigar shaped object over Porland Oregon 8/76,45.5231,-122.6765
1977,Salem,OR,Cigar,15 minutes,"Slowly moving cigar-shaped object with unusual flashing lights seen in Salem, OR in 1970's.",44.9429,-123.0351
1977,John Day,OR,Oval,1 minute,Large oval orange red craft seen in John Day.,44.4160,-118.9530
1977,Winston,OR,Circle,23:00 to nightfall,"All of the above. And there is a lot more to this story, ongoing.",43.1223,-123.4126
1977,Newport,OR,Light,20+10 min,Zig-Zagging light similar to star moving around other stars changing intensity as if looping in/out light range,44.6368,-124.0535
1977,Beatty,OR,Light,5-8 min,A bright object flying in the sky turned 90 deg on the fly came toward us then glowed brightly for maybe 8 min then flew away from us a,42.4418,-121.2708
1977,Christmas Valley,OR,Formation,5 min,Strange incident in 1977,43.2378,-120.6709
1978,Medford,OR,Disk,7 or 8 mins,Inflight formation with two disk,42.3265,-122.8756
1978,Pleasant Hill,OR,Unknown,1 min,Grandfather and grandson levitated in dump truck. 500 Lights On Object0: Yes,43.9674,-122.9329
1978,Grants Pass,OR,Disk,2 hrs.,"Object landed on corner of street. Stayed there approx. 2 hours. Had red, blue, yellow, green lights along middle that spun. Approx.",42.4390,-123.3284
1978,Westport,OR,Unknown,10 sec.,"Two Stars flying parallel to one another at undescribeable speed, then stopping on a dime momentarily to only part in differant directi",46.1326,-123.3748
1978,Pendleton/Athena (between),OR,Light,several seconds,"Tourquois-green fireball drop straight down from a cloud layer and hover a few seconds. Next made a bee line to our car, then shot str",45.6721,-118.7886
1978,Sisters (near),OR,Other,possibly 4- 5 seconds,neon multi-colored jellyfish type hovering object in Oregon late 70's -first report of this incident,44.2909,-121.5492
1979,Medford,OR,Unknown,5 min,"While in flight landing at Medford from Klammath Falls, I spoted what appeared to be another aircraft flying the opposite direction. S",42.3265,-122.8756
1979,Baker City,OR,Cigar,12 seconds,"Large, cigar-shaped craft w / windows travelling south to NNE near Baker, Oregon @ appx. 22:00 on March 24th, 1979.",44.7749,-117.8344
1979,Portland,OR,Triangle,a while,If you saw the triangle I have described. It would be very wise to search your memories.,45.5231,-122.6765
1979,Clackamas,OR,Light,2 seconds,Lights in the fog,45.4076,-122.5704
1980,Bend,OR,Oval,Unknown,Oval (football shaped) with gridwork.,44.0583,-121.3153
1980,Cave Junction (outside of),OR,Unknown,5 minutes,Men In Black Encounter in Oregon,42.1629,-123.6481
1980,Gresham,OR,Sphere,5 secsonds,White orb like object heading west towards portland from gresham,45.5001,-122.4302
1980,Tillamook,OR,Rectangle,2 minutes,"It was big as a football feild with lit up windows, i could see movement inside, it was so low & slow i could see alot of detail.",45.4562,-123.8440
1980,Bandon,OR,Disk,4-8 seconds,"Father & son saw big glowing white disk approach thru clouds from S, depart thru clear sky to SW.",43.1190,-124.4084
1980,Bend,OR,Unknown,10 minutes,"Bright round object seen at night, shot upward at a 45% angle, then got dimmer and dimmer until it faded away.",44.0583,-121.3153
1981,Milwaukie,OR,Disk,30 seconds,Large blueish green disc shaped craft stopped and hovered,45.4462,-122.6393
1981,The Dalles,OR,Fireball,,"Ball of fire moving up the Columbia River. Just made a ""B"" line. No sudden movement",45.5946,-121.1787
1981,Portland,OR,Triangle,15 seconds,"elongated triangle ship spotted around 1981, 3 witnesses. it put us in a daze making it hard to think",45.5231,-122.6765
1981,North Bend,OR,Oval,4-5 mins,"My wife, my self and my two boys,ages about 13 and 9 were coming home from town. We turned off of No. Bay Dr onto No.Way, we saw what l",43.4065,-124.2243
1981,Beaverton,OR,Cigar,10 sec,"DAYTIME SIGHTING long, black, no features, like a pencil, no sound. no lights.",45.4871,-122.8037
